,Survey Year,Gender,Average Head Coach Salary,Survey Year,Gender,Average Recruiting Expenses,Survey Year,Gender,Average Athletic Aid
45,2019,Men's Team Head Coach Average Salary,2033815,2019,Men's Team Recruiting Expenses,1014228,2019,Men's Team Athletic Student Aid,5794910
46,2019,Men's Team Head Coach Average Salary,1164738,2019,Men's Team Recruiting Expenses,1058194,2019,Men's Team Athletic Student Aid,6994749
47,2019,Men's Team Head Coach Average Salary,1088630,2019,Men's Team Recruiting Expenses,1465586,2019,Men's Team Athletic Student Aid,6918615
48,2019,Men's Team Head Coach Average Salary,610574,2019,Men's Team Recruiting Expenses,1236797,2019,Men's Team Athletic Student Aid,9852183
49,2019,Men's Team Head Coach Average Salary,1027489,2019,Men's Team Recruiting Expenses,1423784,2019,Men's Team Athletic Student Aid,15633436
50,2019,Men's Team Head Coach Average Salary,1268359,2019,Men's Team Recruiting Expenses,1697495,2019,Men's Team Athletic Student Aid,8790714
51,2019,Men's Team Head Coach Average Salary,1077792,2019,Men's Team Recruiting Expenses,1043236,2019,Men's Team Athletic Student Aid,7092856
52,2019,Men's Team Head Coach Average Salary,1584112,2019,Men's Team Recruiting Expenses,1264902,2019,Men's Team Athletic Student Aid,8578590
53,2019,Men's Team Head Coach Average Salary,354017,2019,Men's Team Recruiting Expenses,846832,2019,Men's Team Athletic Student Aid,6677088
54,2019,Men's Team Head Coach Average Salary,868797,2019,Men's Team Recruiting Expenses,1116645,2019,Men's Team Athletic Student Aid,10541115
55,2019,Men's Team Head Coach Average Salary,1090868,2019,Men's Team Recruiting Expenses,1025261,2019,Men's Team Athletic Student Aid,6699692
56,2019,Men's Team Head Coach Average Salary,923732,2019,Men's Team Recruiting Expenses,1055830,2019,Men's Team Athletic Student Aid,11585892
57,2019,Men's Team Head Coach Average Salary,1188081,2019,Men's Team Recruiting Expenses,954830,2019,Men's Team Athletic Student Aid,7788598
58,2019,Men's Team Head Coach Average Salary,826429,2019,Men's Team Recruiting Expenses,738041,2019,Men's Team Athletic Student Aid,8437714
59,2019,Men's Team Head Coach Average Salary,1575183,2019,Men's Team Recruiting Expenses,1230820,2019,Men's Team Athletic Student Aid,10009948
60,2019,Men's Team Head Coach Average Salary,870515,2019,Men's Team Recruiting Expenses,1390660,2019,Men's Team Athletic Student Aid,8746267
61,2019,Men's Team Head Coach Average Salary,1046284,2019,Men's Team Recruiting Expenses,691539,2019,Men's Team Athletic Student Aid,10895625
62,2019,Men's Team Head Coach Average Salary,1062203,2019,Men's Team Recruiting Expenses,742752,2019,Men's Team Athletic Student Aid,5476966
63,2019,Men's Team Head Coach Average Salary,1168034,2019,Men's Team Recruiting Expenses,984800,2019,Men's Team Athletic Student Aid,5603606
64,2020,Men's Team Head Coach Average Salary,1025530,2020,Men's Team Recruiting Expenses,296483,2020,Men's Team Athletic Student Aid,9036606
65,2020,Men's Team Head Coach Average Salary,1534802,2020,Men's Team Recruiting Expenses,166893,2020,Men's Team Athletic Student Aid,8712774
66,2020,Men's Team Head Coach Average Salary,1497592,2020,Men's Team Recruiting Expenses,43851,2020,Men's Team Athletic Student Aid,11081428
67,2020,Men's Team Head Coach Average Salary,462710,2020,Men's Team Recruiting Expenses,161516,2020,Men's Team Athletic Student Aid,11841043
68,2020,Men's Team Head Coach Average Salary,1355054,2020,Men's Team Recruiting Expenses,255140,2020,Men's Team Athletic Student Aid,7248875
69,2020,Men's Team Head Coach Average Salary,928915,2020,Men's Team Recruiting Expenses,479745,2020,Men's Team Athletic Student Aid,12091489
70,2020,Men's Team Head Coach Average Salary,1003404,2020,Men's Team Recruiting Expenses,224611,2020,Men's Team Athletic Student Aid,4190806
71,2020,Men's Team Head Coach Average Salary,996506,2020,Men's Team Recruiting Expenses,326364,2020,Men's Team Athletic Student Aid,7546024
72,2020,Men's Team Head Coach Average Salary,886542,2020,Men's Team Recruiting Expenses,145394,2020,Men's Team Athletic Student Aid,8934872
73,2020,Men's Team Head Coach Average Salary,1368717,2020,Men's Team Recruiting Expenses,388230,2020,Men's Team Athletic Student Aid,5222689
